company_name,sector,revenue,ebitda,ebitda_margin,net_profit_margin,debt_to_equity,interest_coverage,current_ratio,quick_ratio,roa,roe,operating_cash_flow,total_debt,dscr,promoter_holding,company_age,market_cap,external_macro_risk_flag,qualitative_risk_score,credit_rating
Sun TV Network,Media & Entertainment,37191.45,5845.82,16.36,20.49,1.1,7.64,2.03,0.95,11.19,11.63,7133.15,3409.15,1.17,55.82,22.29,10.0,0,5.2,A-
Cyient,IT & Technology,84739.01,12198.77,25.05,19.55,0.72,8.97,2.22,1.72,12.66,17.47,10279.49,38557.99,5.01,62.77,67.79,76813.25,0,2.9,AA+
Gujarat Fluorochemicals,Chemicals,131775.65,5652.63,20.86,17.68,0.58,15.85,1.87,1.96,14.49,20.82,5234.02,38893.11,5.03,64.0,45.07,113566.48,0,3.0,AA
ACC,Cement,15311.35,1302.95,9.76,5.74,1.29,3.47,1.46,1.13,3.75,15.4,2018.12,14798.88,2.04,25.96,16.09,34716.09,0,5.9,BBB-
Godrej Consumer Products,FMCG,15555.68,904.44,11.17,7.36,1.52,2.69,0.98,0.7,1.8,8.03,1494.78,14158.87,0.82,26.84,21.16,19064.7,1,6.2,BB+
Jet Airways,Aviation,3149.28,-171.85,-7.27,-14.79,6.11,-0.46,0.77,0.29,-6.23,0.46,-485.65,5239.52,0.37,32.97,10.0,10.0,0,9.5,C
Adani Green Energy,Power & Utilities,31345.98,9529.89,18.69,9.36,1.3,5.62,1.62,1.68,6.19,12.62,6040.99,28004.05,3.01,77.1,36.03,10.0,0,3.5,A
SpiceJet,Aviation,30782.1,8606.76,19.86,11.79,0.98,4.92,1.42,2.36,6.21,15.4,17.36,29747.03,2.05,46.69,44.54,64160.29,0,2.1,A
TVS Motor,Automobile,63064.11,2136.53,27.64,16.09,0.97,4.29,1.86,1.14,8.07,14.0,-2154.44,44826.76,2.74,46.18,25.28,60753.79,0,1.7,A-
Arvind Limited,Textiles,60178.25,17633.72,23.8,11.41,0.52,5.61,1.69,1.3,13.53,16.55,8312.8,45456.31,4.15,61.39,36.45,64217.7,0,3.3,AA-
TV18 Broadcast,Media & Entertainment,61207.74,12745.84,24.18,18.94,0.19,8.23,1.63,2.31,13.63,9.19,1917.43,20411.85,3.33,44.76,71.17,118752.39,0,1.9,AA
Torrent Power,Power & Utilities,43000.93,5788.05,18.58,14.44,0.31,9.19,1.87,1.75,5.31,11.31,1352.4,31754.47,2.85,46.43,19.83,12002.11,0,3.1,A-
CESC,Power & Utilities,17659.07,14461.9,19.59,17.08,0.64,6.49,1.78,0.71,11.57,14.46,8985.67,16719.57,2.67,41.6,46.83,59342.28,0,4.6,A+
Tata Consultancy Services,IT & Technology,26563.41,4530.69,7.89,5.91,0.8,4.37,1.45,0.65,4.62,6.52,2404.32,135.53,2.06,52.54,43.08,32718.1,1,5.7,BBB-
Vodafone Idea,Telecom,4842.05,3168.87,21.67,3.37,0.79,3.96,1.84,0.92,9.06,15.08,11601.46,28101.02,2.19,49.04,15.87,62184.12,0,5.5,A-
Aurobindo Pharma,Pharmaceuticals,4890.82,985.76,7.7,4.64,2.03,1.96,1.42,0.68,4.48,8.62,792.78,12850.63,1.93,30.56,20.38,3498.69,1,7.2,BB-
Apollo Tyres,Automobile,8216.5,4025.19,16.29,6.45,1.5,3.97,1.46,0.99,5.86,11.69,2606.37,12307.81,2.65,35.39,28.28,15196.39,0,4.3,BBB-
Alkem Laboratories,Pharmaceuticals,16765.26,3135.82,21.62,6.51,0.66,1.7,1.9,1.12,4.28,19.34,769.33,39954.16,2.24,71.22,40.99,19758.56,0,4.0,A
Persistent Systems,IT & Technology,6688.11,1064.53,15.09,1.75,1.85,2.76,1.35,0.77,2.57,1.78,166.25,19183.59,1.16,43.05,26.31,876.06,1,6.7,BB-
Emami,FMCG,4479.2,2345.18,13.63,4.87,2.88,0.8,1.15,0.87,1.63,7.9,136.05,22905.57,1.52,45.81,10.0,2199.24,0,6.5,BB
Welspun Living,Textiles,10.0,13092.74,20.68,8.72,1.1,4.64,1.52,1.43,12.45,21.49,7438.85,34935.78,3.43,36.92,39.73,27977.8,1,3.3,A
Tata Elxsi,IT & Technology,39021.75,8031.47,4.63,12.72,0.99,6.89,1.76,1.87,8.78,16.75,10177.97,33438.89,2.08,22.74,26.27,72828.37,0,4.1,A+
Jindal Steel & Power,Steel & Metals,16487.28,5576.13,13.52,9.4,1.4,5.3,0.89,0.89,6.7,15.64,2932.13,16487.55,2.18,58.42,20.4,24954.61,1,6.5,BBB-
Tata Power,Power & Utilities,68565.12,14308.97,24.68,18.23,0.48,10.57,1.67,2.12,7.58,16.27,11585.56,45891.84,3.38,51.34,33.74,199533.83,0,1.7,AA
Mahindra & Mahindra,Automobile,118282.22,18136.17,18.36,15.83,0.51,12.54,3.12,1.76,9.38,21.15,6810.48,9599.95,2.04,42.35,28.55,29332.61,0,1.5,AA-
Bajaj Finance,Banking & Financial Services,10.0,11473.06,26.7,16.97,0.43,11.93,3.33,1.99,13.87,17.82,17470.96,8879.23,5.26,60.11,36.11,299189.43,0,1.1,AAA
NCC Limited,Infrastructure & Construction,8727.47,1132.94,6.53,4.21,1.43,1.24,0.74,0.73,3.85,4.92,2312.43,24856.86,1.59,53.13,32.82,3277.99,0,6.4,BB
Sunteck Realty,Real Estate,10538.74,4116.44,15.76,8.83,1.73,3.96,1.64,0.77,2.81,15.84,2681.62,12521.25,1.49,40.21,16.91,752.78,0,4.8,BBB-
Navin Fluorine,Chemicals,9070.74,5214.32,16.47,8.8,0.9,3.35,1.51,1.18,4.81,14.24,2514.38,29514.17,1.56,26.25,26.68,30879.86,0,5.3,BBB-
State Bank of India,Banking & Financial Services,6257.07,554.6,12.21,5.28,1.46,2.89,0.93,0.68,5.45,9.61,585.19,18873.81,1.25,3.56,10.75,7694.92,0,6.7,BB
Tech Mahindra,IT & Technology,50330.68,6053.09,14.71,13.3,0.7,5.69,1.68,2.08,2.4,13.45,5985.24,16282.86,3.52,61.76,31.43,41879.79,0,3.4,A-
HCL Technologies,IT & Technology,14216.27,2624.0,16.26,10.26,0.71,2.24,0.88,1.22,5.5,12.52,-73.1,41419.38,1.5,50.02,32.54,5195.3,0,5.1,BBB
Punjab National Bank,Banking & Financial Services,121436.83,16107.87,34.64,20.82,0.57,7.03,2.73,1.0,15.8,18.8,-4901.34,17913.93,4.45,55.63,52.73,48998.55,0,2.4,AA
Federal Bank,Banking & Financial Services,50789.14,11561.31,32.36,12.6,0.56,10.2,1.42,1.07,11.04,25.92,14475.62,1292.38,0.69,65.33,40.56,168475.96,0,2.8,AA
Hero MotoCorp,Automobile,23461.73,2105.07,12.87,8.08,1.42,3.48,1.69,0.88,2.34,16.93,1411.66,13178.69,1.77,48.81,20.13,19738.49,0,5.1,BBB-
Torrent Pharma,Pharmaceuticals,10.0,15963.94,19.26,14.32,0.39,5.06,1.53,1.81,6.54,18.03,3398.32,21210.72,2.6,67.41,10.0,10530.09,0,2.6,A-
Marico,FMCG,6884.0,-228.96,11.33,1.96,0.79,4.94,1.52,1.05,2.99,6.39,449.52,19481.48,2.23,58.83,30.31,8936.65,0,4.7,BBB
Nuvoco Vistas,Cement,6994.05,2829.7,2.95,3.3,2.53,0.83,0.99,0.69,2.67,2.21,1157.17,22662.87,1.35,29.81,18.69,2603.36,0,8.2,BB
Godrej Properties,Real Estate,15956.95,624.95,15.9,3.94,0.72,2.25,1.27,1.23,6.16,12.57,521.94,13504.23,1.94,40.46,21.22,26620.38,0,5.2,BBB
KNR Constructions,Infrastructure & Construction,30927.28,2656.28,20.9,9.68,0.61,2.18,1.15,0.79,4.82,12.84,4759.29,23698.1,1.58,23.01,24.71,20386.55,0,6.7,BBB+
Atul Limited,Chemicals,27405.97,4570.12,10.19,6.46,1.16,2.57,1.55,1.09,2.82,14.59,2684.16,10.0,1.77,51.37,33.73,14937.85,1,5.1,BBB+
Tata Steel,Steel & Metals,6329.02,1131.75,25.61,16.78,0.9,8.99,2.22,1.54,5.72,21.93,8145.21,22212.42,2.27,55.08,11.95,70990.2,0,3.8,A+
Coforge,IT & Technology,59135.19,20826.98,24.7,19.19,0.48,21.93,3.01,1.99,16.53,27.65,10531.63,14380.49,2.27,70.98,96.3,208008.26,0,2.0,AAA
Infosys,IT & Technology,13726.4,4514.93,23.13,13.02,0.65,4.7,1.85,1.16,5.23,13.67,7358.37,25328.45,1.67,63.87,10.0,36609.05,0,3.6,A-
Tejas Networks,Telecom,64041.55,21887.35,20.73,18.35,0.54,4.87,3.15,1.02,12.26,19.56,12653.82,16065.08,4.63,42.4,41.01,66167.52,0,2.8,AA-
SRF Limited,Chemicals,49394.61,5955.35,23.9,12.2,0.53,5.48,1.68,1.06,9.07,15.94,-362.6,3227.11,3.14,42.22,35.62,73427.95,0,2.4,A-
Mphasis,IT & Technology,9023.3,523.05,3.32,-1.8,2.09,0.4,1.08,0.48,2.64,1.4,-113.01,8589.59,0.14,33.19,10.98,5061.86,1,8.4,B+
Colgate-Palmolive India,FMCG,44770.79,13134.2,19.74,16.06,0.36,7.43,1.49,0.72,5.19,15.02,2702.8,33641.1,1.35,26.47,48.47,77114.0,0,3.5,A+
Aarti Industries,Chemicals,75487.68,16934.4,25.89,20.38,0.35,10.09,2.19,1.49,9.83,18.29,11206.44,9418.87,4.6,48.24,38.73,82283.17,0,1.0,AA+
GMR Airports Infrastructure,Infrastructure & Construction,46036.38,4453.54,26.1,10.09,0.79,9.83,1.69,1.73,8.1,16.66,6279.83,40717.77,2.25,40.19,24.34,52991.31,1,4.1,A+
Power Grid Corporation,Power & Utilities,53485.17,3108.73,16.33,6.26,1.41,6.61,1.99,0.83,8.0,17.04,4988.97,44135.58,4.65,40.64,19.73,23667.32,0,4.3,A+
Indraprastha Gas,Energy & Oil,13644.72,3073.12,10.92,10.67,1.05,3.19,1.58,0.95,4.53,11.03,3931.64,39757.92,2.09,57.64,22.0,9383.03,1,5.1,BBB-
IRB Infrastructure,Infrastructure & Construction,773.71,2343.86,14.59,6.47,1.79,4.08,1.81,1.07,5.16,8.19,2521.47,20156.65,1.12,41.53,20.77,26202.19,0,4.5,BBB+
Page Industries,Textiles,10344.35,1054.34,-1.48,2.55,2.45,0.65,1.18,1.12,1.86,7.01,17.59,32272.31,1.18,42.65,28.83,11968.87,1,6.0,BB
Laurus Labs,Pharmaceuticals,19949.31,1751.76,4.41,7.84,0.61,5.44,1.45,0.77,3.6,5.33,520.97,32195.88,2.92,56.72,23.08,13520.61,0,6.6,BBB-
Hindalco Industries,Steel & Metals,26602.52,17020.33,26.97,5.04,0.6,4.66,1.77,1.28,15.49,10.69,6915.88,37247.62,2.8,53.32,19.46,53194.59,1,3.8,A-
Ashok Leyland,Automobile,10851.0,2330.09,13.75,4.21,1.1,1.52,1.1,0.85,2.28,4.19,87.08,10.0,1.13,21.42,10.0,5636.59,0,6.8,BB-
Deepak Nitrite,Chemicals,68505.58,10154.01,22.38,18.15,0.36,7.65,2.8,1.95,12.8,21.7,-863.67,38246.03,4.19,68.11,47.81,102935.49,0,2.8,AA-
Steel Authority of India,Steel & Metals,67530.08,34414.51,18.89,17.29,0.5,11.87,2.66,1.56,15.01,18.32,16329.5,21790.93,3.95,68.31,71.44,305495.61,0,4.1,AAA
PNC Infratech,Infrastructure & Construction,76363.34,16274.14,19.74,15.61,0.79,15.13,2.94,1.91,7.23,19.95,3551.59,4150.35,4.04,63.23,55.55,129828.17,0,1.7,AA+
Hindustan Petroleum,Energy & Oil,7475.12,-5.69,1.99,6.22,1.35,2.7,1.43,0.68,3.89,5.02,-307.53,17233.09,1.06,35.84,33.8,10.0,1,5.7,BB+
Indus Towers,Telecom,46348.71,8842.94,21.9,8.22,0.57,7.85,2.51,1.47,5.76,16.36,15709.89,29536.34,3.97,43.12,31.49,68586.96,0,2.9,A-
NIIT Technologies,IT & Technology,29762.06,20917.99,32.15,22.05,0.86,10.4,2.04,2.14,13.14,14.07,4798.19,27903.16,3.62,57.74,58.09,145542.23,0,1.0,AA
Prestige Estates,Real Estate,17533.98,4389.38,7.37,6.04,0.86,3.53,1.89,1.51,3.37,12.58,3505.84,24651.51,2.0,51.64,40.88,36537.0,1,5.6,BBB+
RBL Bank,Banking & Financial Services,72309.33,16204.77,31.79,16.75,0.54,10.36,1.19,1.57,9.0,13.25,19604.11,28050.49,3.77,52.35,46.44,159486.17,0,2.3,AA
ICICI Bank,Banking & Financial Services,14951.72,4736.13,5.32,7.83,1.03,3.34,1.25,1.03,8.85,10.03,3025.08,43936.96,1.52,69.78,24.05,46728.44,1,5.2,BBB-
South Indian Bank,Banking & Financial Services,28818.65,4691.81,20.38,15.59,0.8,5.37,1.7,1.65,11.06,12.33,3325.65,33690.38,4.02,65.75,16.98,42077.72,0,3.3,A-
JSW Steel,Steel & Metals,58879.38,1098.3,11.91,8.69,0.89,7.24,1.97,1.71,3.59,19.75,4751.62,38972.41,1.74,52.06,34.84,84672.53,0,3.5,A
KPR Mill,Textiles,10465.76,9774.73,23.89,17.15,0.64,7.85,2.34,0.72,9.53,18.83,4965.09,9838.4,3.55,37.61,29.86,48796.28,0,3.0,A+
Shriram Finance,Banking & Financial Services,8154.16,3197.83,20.03,14.86,0.6,3.88,1.07,1.25,3.12,8.98,1439.31,19085.61,1.96,53.8,23.94,51.63,1,5.0,BBB
Maruti Suzuki,Automobile,50911.23,4315.18,11.99,11.86,1.19,6.32,1.72,1.0,12.39,10.88,3098.42,36550.51,1.32,67.3,39.49,76976.93,0,3.4,A
Divi's Laboratories,Pharmaceuticals,23421.28,13019.47,19.15,17.94,0.66,14.43,2.39,1.97,10.11,16.09,13842.03,17362.33,4.07,47.39,28.78,138124.56,1,1.7,AA+
Reliance Industries,Energy & Oil,66765.36,10270.85,25.1,21.67,0.66,12.39,3.15,1.32,8.04,15.11,9472.99,10.0,3.59,52.55,53.76,121145.16,1,3.0,AA
Nestle India,FMCG,3084.89,-330.56,-7.96,-21.13,2.36,0.08,0.66,0.24,-6.54,-14.13,-131.55,12980.0,0.48,28.15,10.0,504.04,0,8.2,C
Saregama India,Media & Entertainment,4224.94,898.94,8.25,-1.96,3.04,1.32,0.74,0.73,0.76,-2.64,336.56,13735.69,0.74,34.44,10.0,4525.33,1,7.6,B
Kalpataru Projects,Infrastructure & Construction,18571.42,690.83,10.53,1.37,1.43,2.05,1.44,1.09,6.2,7.39,2382.71,40043.37,2.66,59.85,27.37,4923.4,0,4.9,BBB-
Tata Communications,Telecom,40089.51,4652.2,19.14,12.66,0.87,6.99,1.57,0.83,12.06,24.96,7789.68,8140.12,2.18,58.11,48.09,13613.28,0,3.7,A+
UltraTech Cement,Cement,3296.87,-203.08,-14.38,-6.89,5.69,0.28,0.71,0.29,-7.54,-2.87,-45.0,13432.58,0.7,15.34,10.0,1126.35,1,9.1,C
Oberoi Realty,Real Estate,7063.0,405.97,10.26,4.51,2.36,2.31,1.27,0.86,2.72,4.85,973.3,12668.75,1.71,60.79,23.06,10270.8,0,5.5,BB
Manappuram Finance,Banking & Financial Services,6919.14,1281.12,10.92,5.41,2.35,1.45,0.98,1.09,4.16,5.83,735.67,14972.86,1.21,48.62,38.28,9138.54,0,5.2,BB+
PVR INOX,Media & Entertainment,21271.8,13029.67,22.01,-5.56,1.0,9.84,1.0,1.83,1.07,18.75,5965.41,10.0,3.16,65.81,36.37,67544.83,0,2.0,A-
Zee Entertainment,Media & Entertainment,42453.55,15373.89,25.65,4.05,0.35,4.31,1.16,1.32,8.98,9.28,9108.51,37016.56,2.36,49.93,10.0,40032.14,0,3.6,A+
National Aluminium,Steel & Metals,59471.92,15709.69,23.41,17.14,0.7,9.71,2.36,1.53,9.06,20.09,7668.64,26633.76,3.83,54.96,37.08,69512.74,0,2.8,AA+
Brigade Enterprises,Real Estate,4694.64,697.38,2.87,6.69,2.2,0.56,0.7,0.34,3.3,8.48,380.22,4831.29,1.25,29.72,10.39,6593.15,1,9.3,B
JSW Energy,Power & Utilities,34477.0,5713.36,16.94,4.61,0.72,8.29,2.04,1.31,5.51,15.91,10051.25,34460.79,2.93,42.44,42.41,10.0,0,5.6,A-
Dilip Buildcon,Infrastructure & Construction,12290.67,12310.41,24.95,14.15,0.71,11.42,2.28,1.92,11.05,30.72,11908.08,24343.39,2.09,52.57,59.21,19872.59,0,2.5,AA-
Hindustan Unilever,FMCG,54673.4,7690.72,18.32,4.57,0.94,7.32,1.09,1.7,9.91,19.53,8334.1,37805.24,3.22,62.42,10.17,4968.22,1,3.4,A+
Dr Reddys Laboratories,Pharmaceuticals,18881.37,3649.36,20.59,11.45,0.85,3.79,1.15,0.95,5.64,0.77,6840.24,26796.9,1.5,71.13,20.53,21987.79,0,6.3,BBB
NHPC,Power & Utilities,47375.38,15046.39,32.22,18.34,0.49,13.33,3.47,1.73,11.35,18.68,18862.58,14809.63,3.52,42.63,24.24,68932.0,1,3.9,AA-
Adani Enterprises,Infrastructure & Construction,5607.98,80.77,2.09,5.12,3.4,1.01,0.81,0.77,-0.49,4.57,881.8,13642.85,0.61,41.16,10.0,10.0,0,8.4,B+
HG Infra Engineering,Infrastructure & Construction,6445.47,898.21,6.15,3.55,1.46,1.19,1.62,0.89,3.86,9.65,1262.62,11868.9,1.28,38.23,21.51,10050.15,0,5.4,BB+
Ratnamani Metals,Steel & Metals,8731.19,1036.58,2.44,5.52,2.38,4.02,1.05,0.69,1.34,7.63,921.39,7887.04,1.15,14.3,25.41,3375.92,0,5.4,BB+
HDFC Bank,Banking & Financial Services,19517.64,6241.84,19.94,13.92,1.23,7.47,2.18,1.81,9.42,14.85,10036.45,44095.14,3.32,34.54,21.9,41754.38,0,3.5,A-
Air India (Tata),Aviation,26368.69,5630.47,21.0,11.62,0.79,4.08,1.22,0.59,4.43,14.97,3329.34,44213.71,1.89,77.37,25.78,20337.2,1,5.9,BBB
MRF,Automobile,9978.75,1705.9,21.41,11.47,1.65,3.07,1.38,0.99,6.57,15.66,3162.66,43698.69,2.25,45.18,32.29,45589.1,1,4.8,BBB
Birla Corporation,Cement,26868.91,3051.35,13.92,9.73,1.87,4.02,1.54,1.01,4.34,10.51,2743.77,40617.2,1.68,48.63,15.35,30749.47,0,6.3,BBB-
IndusInd Bank,Banking & Financial Services,55084.11,18020.48,24.08,18.11,0.56,10.17,2.27,1.78,10.12,17.03,21244.17,54526.56,2.6,45.41,27.64,93802.7,0,3.0,AA+
Bank of Baroda,Banking & Financial Services,33096.56,9880.21,16.54,11.02,0.79,2.83,1.34,0.91,9.91,15.98,8444.24,405.18,1.61,59.96,10.0,86738.88,0,4.2,A-
Eicher Motors,Automobile,44456.62,36586.84,52.46,8.63,0.33,5.96,3.06,1.9,14.39,17.44,25024.87,3413.14,6.86,58.73,26.95,359493.68,0,3.0,AAA
GAIL India,Energy & Oil,27213.56,1403.71,14.58,8.36,1.81,4.03,1.45,0.95,4.9,14.91,2506.67,15260.03,1.52,41.35,10.0,8744.37,1,4.8,BBB+
SBI Life Insurance,Banking & Financial Services,42679.41,-3654.4,22.84,11.35,0.66,6.36,1.6,0.56,10.31,15.97,4744.23,13507.22,1.62,54.69,51.36,56094.99,0,3.7,A
Axis Bank,Banking & Financial Services,48666.43,20048.31,28.64,4.06,0.61,6.99,1.49,1.52,12.23,11.44,15227.46,31160.07,3.85,49.32,27.31,161555.93,0,3.4,AA
DLF,Real Estate,45870.02,13329.16,14.75,15.41,0.62,5.99,2.45,1.64,9.07,21.42,-2213.54,26160.17,5.42,72.4,47.85,81899.15,0,2.3,AA
Balaji Amines,Chemicals,20438.07,1385.51,18.79,14.4,1.18,1.89,1.0,1.19,4.88,13.63,1539.46,29967.48,1.72,39.21,19.99,2044.18,0,4.9,BBB
Akasa Air,Aviation,66112.85,10241.92,18.69,15.06,0.72,8.44,1.76,1.66,12.5,24.57,13122.5,29727.91,4.52,46.47,27.55,34966.22,0,3.1,AA-
InterGlobe Aviation (IndiGo),Aviation,4870.15,427.82,-5.37,7.17,1.78,2.03,0.61,0.48,-2.3,4.45,-130.38,3416.0,0.46,46.66,16.27,7530.08,0,7.7,B-
Sun Pharmaceutical,Pharmaceuticals,2106.65,2329.92,12.41,9.39,1.61,4.69,1.15,1.25,4.91,10.03,1224.68,13280.77,2.67,51.69,25.75,16066.3,1,6.0,BBB
Escorts Kubota,Automobile,17020.88,6268.73,18.93,12.58,0.59,6.88,2.38,0.84,5.18,13.07,4252.82,57976.99,3.6,63.33,28.83,41410.6,0,4.1,A
IDFC First Bank,Banking & Financial Services,19910.55,5571.99,13.95,7.57,1.27,4.57,0.96,1.18,4.96,7.82,-1252.29,18362.32,2.52,68.1,27.55,49430.08,1,5.8,BBB
APL Apollo Tubes,Steel & Metals,61950.76,17824.81,25.26,9.7,0.4,11.79,2.32,1.41,13.39,30.82,36844.01,1713.06,4.47,53.73,74.77,228659.35,0,1.6,AAA
Bajaj Finserv,Banking & Financial Services,1283.87,384.27,-1.72,-6.65,0.01,0.28,0.96,0.51,-10.54,-9.57,-680.61,21977.71,0.45,18.79,10.0,10.0,0,8.5,C
Bajaj Auto,Automobile,23456.75,-882.63,13.09,11.03,0.62,3.78,1.42,1.43,4.54,10.49,4038.93,4083.82,1.69,42.53,22.61,32726.1,1,4.4,BBB+
Trident Limited,Textiles,8683.5,2392.35,6.67,4.44,1.68,1.95,0.74,1.08,1.84,10.08,427.17,9744.95,1.56,55.91,19.67,12566.9,1,6.5,BB
ICICI Lombard,Banking & Financial Services,33459.39,20328.45,20.84,21.94,0.44,10.06,2.58,1.61,10.11,17.88,16362.91,14045.77,3.67,58.1,54.97,94009.28,0,2.4,AA+
Glenmark Pharmaceuticals,Pharmaceuticals,12623.16,2657.94,8.42,4.89,0.99,4.86,1.39,0.88,7.45,15.65,4759.69,9762.92,1.55,69.76,26.41,15985.59,0,5.8,BBB+
Clean Science and Technology,Chemicals,9285.5,3438.88,19.63,4.52,1.2,2.16,1.1,0.86,5.95,10.03,1332.85,20618.65,1.23,53.15,35.31,18811.94,0,5.3,BBB+
Procter & Gamble India,FMCG,10.0,587.89,17.41,0.63,2.4,1.37,1.23,0.75,-2.23,5.25,971.58,16979.53,0.51,39.23,10.0,6082.01,0,7.6,B-
Britannia Industries,FMCG,6422.2,1907.1,22.43,8.31,0.98,2.13,0.84,0.69,5.22,13.94,1491.37,38846.52,1.44,45.14,13.2,34861.43,1,3.7,BBB
Kotak Mahindra Bank,Banking & Financial Services,67755.19,-428.18,18.27,17.06,0.37,7.13,2.29,1.33,9.38,22.04,13793.71,27070.49,2.37,40.96,43.72,8846.73,0,3.6,A-
